Restaurant Name,Item Name,Category,Price,Timing,Mobile No
Vali Biriyani,Chicken Biriyani,Main Course,100,11:00 AM - 5:00 PM,7330947909
Vali Biriyani,Kichidi,Main Course,50,11:00 AM - 5:00 PM,7330947909
Annapurna Meals,Meals,Main Course,60,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Meals,Main Course,80,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Meals,Main Course,120,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Pappu,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Sambar,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Rasam,Curry,20,11:30 AM - 2:00 PM,7330947909
Annapurna Meals,Fry,Curry,20,11:30 AM - 2:00 PM,7330947909
Madeena Fast Food Centre,Veg Fried Rice,Rice,50,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Egg Fried Rice,Rice,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Fried Rice,Rice,70,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Veg Manchurian,Manchurian,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Egg Manchurian,Manchurian,70,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Manchurian,Manchurian,130,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Pakodi (1/4 Kg),Starter,100,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Joints,Starter,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chilli Chicken,Starter,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Kichidi,Main Course,80,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Biriyani,Biriyani,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Joint Biriyani,Biriyani,180,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Joint Chicken,Starter,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Veg Noodles,Noodles,50,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Egg Noodles,Noodles,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Chicken Noodles,Noodles,70,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Gobi Noodles,Noodles,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Gobi Rice,Rice,60,11:30 AM - 11:00 PM,7330947909
Madeena Fast Food Centre,Flashman Fried Rice,Rice,70,11:30 AM - 11:00 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Fry,Non-Veg Snacks,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Liver Fry,Non-Veg Snacks,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Roast Chicken,Non-Veg Snacks,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chilli Chicken,Non-Veg Snacks,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken 65,Non-Veg Snacks,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Manchurian,Non-Veg Snacks,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken 85 (Bone),Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken 85 (Boneless),Non-Veg Snacks,280,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Majestic,Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Kaju Chicken,Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Pepper Chicken,Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Ginger Chicken,Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Lemon Chicken,Non-Veg Snacks,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Fried Wing (6),Non-Veg Snacks,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Fried Wing (3),Non-Veg Snacks,170,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Lollipop (6),Non-Veg Snacks,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Lollipop (3),Non-Veg Snacks,170,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Curry (Bones),Chicken Curry,200,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Curry (Boneless),Chicken Curry,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Mughlai Curry (Bones),Chicken Curry,230,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Mughlai Curry (Boneless),Chicken Curry,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Butter Chicken Curry,Chicken Curry,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Kadai Chicken Curry,Chicken Curry,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Cashew Curry (Boneless),Chicken Curry,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Natu Kodi Fry,Natu Kodi,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Natu Kodi Curry,Natu Kodi,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Biryani Rice,Biryani,140,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Biryani (Bones),Biryani,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Biryani (Boneless),Biryani,230,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Mughlai Biryani (Bones),Biryani,260,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Mughlai Biryani (Boneless),Biryani,270,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Chicken Fried Wings Biryani,Biryani,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Pepper Chicken Biryani,Biryani,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Akshaya Special Biryani,Biryani,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Fish Fry (Bones),Fish,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Fish Roast (Bone),Fish,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Fish Curry (Bones),Fish,220,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Fish Fry (Boneless),Fish,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Apollo Fish (Bones),Fish,250,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Fish Biryani (Boneless),Fish Biryani,300,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Omelet,Egg Items,70,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Egg Fry,Egg Items,140,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Egg Buzzy,Egg Items,140,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Egg Curry,Egg Items,140,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Egg Chilli,Egg Items,160,11:30 AM - 9:30 PM,7330947909
"Akshaya Garden & Family Restaurant A/C, Karampudi",Egg Biryani,Egg Biryani,200,11:30 AM - 9:30 PM,7330947909
Sai Lakshmi Hotel,Meals (60),Meals,60,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Meals (80),Meals,80,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Meals (120),Meals,120,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Pappu,Curry,20,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Sambar,Curry,20,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Rasam,Curry,20,11:30 AM - 2:00 PM,7330947909
Sai Lakshmi Hotel,Fry,Curry,0,11:30 AM - 2:00 PM,7330947909
MADINA DHABA & RESTAURANT,Prawns Curry,Non-Veg Curry,300,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Fish Curry,Non-Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Curry (Bones),Non-Veg Curry,180,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Curry (Boneless),Non-Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Mughlai,Non-Veg Curry,240,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kadai Chicken,Non-Veg Curry,240,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Maharani Chicken,Non-Veg Curry,240,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Punjabi Chicken,Non-Veg Curry,240,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Rambha Chicken,Non-Veg Curry,250,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Butter Chicken,Non-Veg Curry,230,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kaju Chicken,Non-Veg Curry,250,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Lollipop Curry,Non-Veg Curry,280,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Bhurji,Egg Curry,80,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Curry,Egg Curry,80,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Keema,Egg Curry,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Tomato,Egg Curry,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Palak,Egg Curry,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Dappu,Egg Curry,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Pappu Curry,Veg Curry,90,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Palak Curry,Veg Curry,90,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Tomato Curry,Veg Curry,90,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Palak Paneer,Veg Curry,170,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Paneer Masala,Veg Curry,190,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Paneer Butter Masala,Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kaju Paneer,Veg Curry,250,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kaju Curry,Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kaju Tomato,Veg Curry,180,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Methi Chaman,Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Veg Mixer,Veg Curry,120,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Mushroom Curry,Veg Curry,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Fried Rice,Rice,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Fried Rice,Rice,130,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Jeera Rice,Rice,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Jeera Rice Special,Rice,120,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Khichdi,Rice,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Biryani (Bones),Biryani,180,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Biryani (Boneless),Biryani,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Wings Biryani,Biryani,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Chilli,Starter,120,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Roast,Starter,120,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Egg Fry,Starter,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chilli Chicken,Starter,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken 65,Starter,230,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Fry (Bones),Starter,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Fry (Boneless),Starter,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Manchuria,Starter,230,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Lemon Chicken,Starter,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Lollipop Fry (6 pcs),Starter,300,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Chicken Lollipop Roast,Starter,280,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Fish Fry(4 pcs),Starter,200,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Prawns Fry,Starter,300,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Paneer Chilli,Veg Starter,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Paneer 65,Veg Starter,230,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Onion Pakodi,Veg Starter,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Finger Chips,Veg Starter,100,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Mushroom Fry,Veg Starter,220,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Palli Masala,Veg Starter,90,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Pulka (1 pc),Extras,6,11:30 AM - 9:00 PM,7330947909
MADINA DHABA & RESTAURANT,Kheer,Extras,40,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fried Rice (Bones),Rice Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fried Rice (Boneless),Rice Items,210,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Cashew Fried Rice,Rice Items,210,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Veg Biryani,Rice Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Cashew Biryani,Rice Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Mushroom Biryani,Rice Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Paneer Biryani,Rice Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Curry (Bones),Chicken Curry,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Curry (Boneless),Chicken Curry,220,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Mughlai Curry (Bones),Chicken Curry,230,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Mughlai Curry (Boneless),Chicken Curry,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Butter Chicken Curry,Chicken Curry,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Kadai Chicken Curry,Chicken Curry,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Kaju Curry,Chicken Curry,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Andhra Chicken Curry,Chicken Curry,220,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Mutton Biryani,Mutton Items,400,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Mutton Curry,Mutton Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Gongura Mutton Curry,Mutton Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fry,Chicken Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Liver Fry,Chicken Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Roast,Chicken Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chilli Chicken,Chicken Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken 65,Chicken Items,200,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Manchuria,Chicken Items,220,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken 85 (Bones),Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken 85 (Boneless),Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Majestic,Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken 555,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Kaju Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Pepper Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Ginger Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Lemon Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fried Wings (6 pcs),Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fried Wings (3 pcs),Chicken Items,170,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Lollipop (6 pcs),Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Lollipop (3 pcs),Chicken Items,170,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Maharaja Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Maharani Chicken,Chicken Items,280,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Spicy Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Stick Chicken,Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Sizzler Chicken,Chicken Items,350,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Jaipur Chicken,Chicken Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Dragon Chicken,Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Punjabi Chicken,Chicken Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Biryani Rice,Biryani Items,130,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Dum Biryani,Biryani Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fry Biryani,Biryani Items,220,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Biryani (Bones),Biryani Items,220,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Biryani (Boneless),Biryani Items,230,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Mughlai Biryani (Bones),Biryani Items,280,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Mughlai Biryani (Boneless),Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chicken Fried Wings Biryani,Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Pepper Chicken Biryani,Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Maharaja Biryani,Biryani Items,280,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Maharani Biryani,Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Rambha Biryani,Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Bommarillu Special Biryani,Biryani Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Natu Kodi Fry,Natu Kodi,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Natu Kodi Curry,Natu Kodi,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Natu Kodi Biryani,Natu Kodi,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Prawns Fry,Prawn Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Chilli Prawns,Prawn Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Loose Prawns,Prawn Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Prawns Curry,Prawn Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Prawns Biryani,Prawn Items,300,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Fish Fry (Bones),Fish Items,250,11:30 AM - 9:00 PM,7330947909
Bommarillu Family Restaurant,Fish Roast (Bones),Fish Items,250,11:30 AM - 9:00 PM,7330947909
